"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"CRAIGIEBURN",51,4,30,2
"CRAIGIEBURN HIGHLANDS",1,0,1,0
"CRANBOURNE",55,5,24,4
"CRANBOURNE EAST",8,0,4,0
"CRANBOURNE NORTH",6,0,5,0
"CRANBOURNE SOUTH",2,0,0,0
"CRANBOURNE WEST",12,0,10,0
"CREMORNE",19,0,11,0
"CRESSY",2,0,0,0
"CRESWICK",15,1,2,0
"CRIB POINT",6,0,0,0
"CROWLANDS",1,0,0,0
"CROYDON",77,4,42,2
"CROYDON HILLS",2,0,1,0
"CROYDON NORTH",5,1,1,0
"CROYDON SOUTH",12,2,6,0
"CUDGEWA",2,0,1,0
"CULGOA",4,0,1,0
"CULLULLERAINE",2,0,1,0
"CURDIE VALE",1,0,0,0
"CURLEWIS",8,0,2,0
"CURLEWIS VIA DRYSDALE",1,0,0,0
"DADSWELLS BRIDGE",1,0,1,0
"DALLAS",2,0,0,0
"DALYSTON",2,0,1,0
"DANDENONG",86,9,29,6
"DANDENONG NORTH",11,1,4,0
"DANDENONG SOUTH",18,0,6,0
"DANDENONG WEST",1,0,1,0
"DARGO",3,0,1,0
"DARLEY",2,0,1,0
"DARLINGTON",1,0,1,0
"DARNUM",2,0,1,0
"DARRAWEIT GUIM",1,0,0,0
"DARTMOOR",4,0,0,0
"DARTMOUTH",1,0,0,0
"DAYLESFORD",44,0,22,2
"DEANS MARSH",5,0,2,0
"DEDERANG",4,0,0,0
"DEEPDENE",6,1,3,0
"DEER PARK",26,1,12,2
"DELACOMBE",2,0,0,0
"DELAHEY",3,1,2,0
"DELEGATE RIVER",1,0,1,0
"DENNINGTON",3,0,0,0
"DENVER",2,0,0,0
"DEREEL",1,0,0,0
"DERGHOLM",1,0,0,0
"DERRIMUT",11,0,4,0
"DERRINALLUM",5,0,2,0
"DEVENISH",1,0,0,0
"DEVON MEADOWS",1,0,0,0
"DHURRINGILE",1,0,0,0
"DIAMOND CREEK",23,2,10,1
"DIGBY",1,0,0,0
"DIGGERS REST",8,1,3,0
"DIMBOOLA",10,1,2,0
"DINGEE",2,0,1,0
"DINGLEY",10,0,2,1
"DINGLEY VILLAGE",7,0,5,0
"DINNER PLAIN",11,1,2,0
"DIXIE",1,0,0,0
"DIXONS CREEK",16,0,5,0
"DOCKLANDS",178,2,79,0
"DONALD",12,1,2,0
"DONCASTER",53,5,24,2
"DONCASTER EAST",82,14,42,1
"DONCASTER WEST",1,0,1,0
"DONNYBROOK",1,0,0,0
"DONVALE",11,0,3,0
"DOOEN",2,0,0,0
"DOOKIE",5,0,1,0
"DOOKIE COLLEGE",1,0,1,0
"DOREEN",18,0,11,0
"DOVETON",17,1,3,1
"DROMANA",54,5,20,2
"DROPMORE",1,0,0,0
"DROUIN",30,3,6,1
"DROUIN EAST",3,0,1,0
"DROUIN WEST",1,0,0,0
"DRUMCONDA",1,0,1,0
"DRUMCONDRA",2,0,0,0
"DRUMMOND NORTH",2,0,0,0
"DRUMMOND VIA KYNETON",1,0,0,0
"DRUNG",2,0,0,0
"DRY DIGGINGS",2,0,1,0
"DRYSDALE",26,3,8,0
"DUMBALK",2,0,0,0
"DUNKELD",12,0,1,0
"DUNNSTOWN",3,0,1,0
"DUNOLLY",8,0,3,0
"DURHAM LEAD",1,0,0,0
"EAGLE POINT",3,0,1,0
"EAGLEHAWK",17,0,5,1
"EAGLEMONT",4,2,2,0
"EAST BALWYN",1,1,0,0
"EAST BENTLEIGH",2,0,0,0
"EAST BRUNSWICK",4,0,1,0
"EAST BURWOOD",1,0,1,0
"EAST COBURG",2,0,0,0
"EAST DONCASTER",1,0,0,0
"EAST GEELONG",8,0,5,0
"EAST HAWTHORN",3,1,1,0
"EAST IVANHOE",2,1,0,0
"EAST KEILOR",1,0,1,0
"EAST MALVERN",4,0,2,0
"EAST MELBOURNE",42,1,17,0
"EAST PRESTON",3,0,2,0
"EAST ST KILDA",3,0,1,0
"EAST THOMASTOWN",1,0,0,0
"EASTWOOD",2,0,1,0
"EBDEN",1,0,1,0
"ECHUCA",80,0,28,3
"ECHUCA WEST",1,0,0,0
"ECKLIN SOUTH",1,0,0,0
"EDDINGTON",1,0,1,0
"EDENHOPE",10,0,3,0
"EDI",1,0,0,0
"EDITHVALE",17,4,6,0
"EILDON",12,1,4,0
"ELAINE",3,0,0,0
"ELDORADO",2,0,1,0
"ELLIMINYT",7,0,1,0
"ELLINABANK",1,0,0,0
"ELLINBANK",2,0,0,0
"ELMHURST",3,0,1,0
"ELMORE",7,1,2,0
"ELPHINSTONE",4,0,1,0
"ELSTERNWICK",85,9,44,2
"ELTHAM",57,1,27,1
"ELTHAM NORTH",2,0,1,0
