"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"General","1AM","More than 499","TORQUAY","3228","-38.31510428","144.34901820","Barwon South-West","Not allowed"
"General","1AM","More than 499","CARRUM DOWNS","3197","-38.07904069","145.21109420","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","MELBOURNE","3000","-37.81100670","144.96587940","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","WANDIN NORTH","3139","-37.77975388","145.42752910","Metro East","Not allowed"
"Late Night","3AM","Between 200 and 499","ST KILDA","3182","-37.86716581","144.97992010","Metro South","Not allowed"
"Late Night","3AM","Between 100 and 199","SOUTHBANK","3006","-37.82230000","144.95940000","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","MORIAC","3240","-38.24114298","144.17473410","Barwon South-West","Not allowed"
"Late Night","7AM","Between 200 and 499","MELBOURNE","3000","-37.81952620","144.95745460","Metro North","Not allowed"
"General","1AM","Between 100 and 199","BENDIGO","3550","-36.75873115","144.27709870","Loddon Mallee","Not allowed"
"General","12AM","Between 100 and 199","HAMILTON","3300","-37.74252436","142.02479294","Barwon South-West","Not allowed"
"General","1AM","Between 5 and 19","FITZROY","3065","-37.80612861","144.98218750","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","PAKENHAM","3810","-38.07751500","145.48135200","Metro South","Not allowed"
"General","Ordinary","Unspecified","LIMA SOUTH","3673","-36.83859854","146.00708500","Hume","Not allowed"
"General","12AM","More than 499","WARRNAMBOOL","3280","-38.38844076","142.51114840","Barwon South-West","Not allowed"
"General","Ordinary","Between 20 and 49","RED HILL SOUTH","3937","-38.39186200","145.01809000","Metro South","Not allowed"
"General","Ordinary","Unspecified","TAWONGA SOUTH","3698","-36.72021340","147.14408360","Hume","Not allowed"
"General","Ordinary","Between 50 and 99","POWELLTOWN","3797","-37.86314696","145.75320310","Metro East","Not allowed"
"General","12AM","Between 50 and 99","MELBOURNE","3000","-37.81392695","144.96350230","Metro North","Not allowed"
"Late Night","2AM","Between 200 and 499","MOUNT BAW BAW","3833","-37.84125600","146.26505700","Gippsland","Not allowed"
"General","Ordinary","Between 100 and 199","FALLS CREEK","3699","-36.86417930","147.27810670","Hume","Not allowed"
"General","1AM","Between 50 and 99","BRUNSWICK","3056","-37.77461893","144.96101874","Metro North","Not allowed"
"General","Ordinary","Between 200 and 499","DANDENONG","3175","-37.98779395","145.21693990","Metro South","Not allowed"
"Late Night","24 Hours","More than 499","MELBOURNE","3000","-37.81576255","144.96076190","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","MERRIJIG","3723","-37.10675735","146.35209260","Hume","Not allowed"
"General","1AM","More than 499","SOUTHBANK","3006","-37.82133424","144.96469820","Metro North","Not allowed"
"Late Night","5AM","More than 499","MELBOURNE","3000","-37.81742736","144.96062520","Metro North","Not allowed"
"General","1AM","Between 100 and 199","METUNG","3904","-37.87528571","147.84315560","Gippsland","Not allowed"
"General","1AM","Between 200 and 499","SOUTHBANK","3006","-37.82788904","144.95745130","Metro North","Not allowed"
"General","Ordinary","Between 200 and 499","ROWVILLE","3178","-37.90248900","145.26081200","Metro East","Not allowed"
"General","Ordinary","Between 100 and 199","ROSEDALE","3847","-38.15109500","146.78655300","Gippsland","Not allowed"
"General","Ordinary","Unspecified","DUNOLLY","3472","-36.85815748","143.73008170","Loddon Mallee","Not allowed"
"General","Ordinary","Between 200 and 499","TOOLANGI","3777","-37.54491161","145.48315240","Hume","Not allowed"
"General","1AM","More than 499","MILDURA","3500","-34.18336000","142.16348800","Loddon Mallee","Not allowed"
"General","Ordinary","Unspecified","STRATHBOGIE","3666","-36.85722015","145.73589610","Hume","Not allowed"
"General","Ordinary","Between 200 and 499","COLDSTREAM","3770","-37.69439179","145.40668290","Metro East","Not allowed"
"General","Ordinary","More than 499","HEALESVILLE","3777","-37.65163395","145.52254480","Metro East","Not allowed"
"General","1AM","More than 499","MELBOURNE","3000","-37.81782708","144.96070540","Metro North","Not allowed"
"General","1AM","Between 200 and 499","MELBOURNE","3000","-37.81708897","144.95294497","Metro North","Not allowed"
"General","1AM","Between 200 and 499","SORRENTO","3943","-38.33823230","144.74374700","Metro South","Not allowed"
"General","1AM","Between 200 and 499","SORRENTO","3943","-38.33817100","144.74345600","Metro South","Not allowed"
"General","Ordinary","Between 50 and 99","WARRNAMBOOL","3280","-38.38191675","142.48160050","Barwon South-West","Not allowed"
"General","Ordinary","Between 200 and 499","BARONGAROOK","3249","-38.44503751","143.56435870","Barwon South-West","Not allowed"
"General","Ordinary","Between 50 and 99","BRUNSWICK","3056","-37.74257196","144.96618850","Metro North","Not allowed"
"General","1AM","Between 200 and 499","RIDDELLS CREEK","3431","-37.46434990","144.67940780","Loddon Mallee","Not allowed"
"General","1AM","Between 200 and 499","WARRNAMBOOL","3280","-38.39667220","142.47334520","Barwon South-West","Not allowed"
"General","12AM","Between 100 and 199","MOORABBIN","3189","-37.94266705","145.06871930","Metro South","Not allowed"
"General","Ordinary","Between 200 and 499","SOUTH MELBOURNE","3205","-37.83412800","144.96181200","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","EYNESBURY","3338","-37.77127324","144.56334270","North West","Not allowed"
"General","1AM","More than 499","WANGARATTA","3677","-36.35277780","146.32771350","Hume","Not allowed"
"General","Ordinary","Between 200 and 499","TIMBOON","3268","-38.48316812","142.97258360","Barwon South-West","Not allowed"
"General","1AM","Between 50 and 99","ORMOND","3204","-37.90356700","145.03891900","Metro South","Not allowed"
"Late Night","3AM","More than 499","SAN REMO","3925","-38.52248000","145.39075500","Gippsland","Not allowed"
"General","1AM","More than 499","MILDURA","3500","-34.18337175","142.16284620","Loddon Mallee","Not allowed"
"General","1AM","Between 200 and 499","CRANBOURNE SOUTH","3977","-38.13302900","145.24959910","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","YARRAGON","3823","-38.20419585","146.06787711","Gippsland","Not allowed"
"General","Ordinary","Between 100 and 199","GLEN WAVERLEY","3150","-37.88316220","145.16423320","Metro East","Not allowed"
"General","1AM","Between 200 and 499","BARWON HEADS","3227","-38.27810471","144.45675835","Barwon South-West","Not allowed"
"General","Ordinary","Between 50 and 99","WARRNAMBOOL","3280","-38.38325138","142.48063200","Barwon South-West","Not allowed"
"General","Ordinary","Between 200 and 499","MILDURA","3500","-34.18413646","142.16322230","Loddon Mallee","Not allowed"
"General","Ordinary","Between 200 and 499","NAGAMBIE","3608","-36.78782500","145.13131400","Hume","Not allowed"
"General","12AM","Between 100 and 199","ECHUCA","3564","-36.11992325","144.74554340","Loddon Mallee","Not allowed"
"General","Ordinary","Between 200 and 499","HEATHCOTE","3523","-36.92465520","144.71017720","Loddon Mallee","Not allowed"
"General","Ordinary","Between 50 and 99","PORTLAND","3305","-38.42856335","141.54237590","Barwon South-West","Not allowed"
"General","Ordinary","Between 50 and 99","TAGGERTY","3714","-37.32092421","145.71455590","Hume","Not allowed"
"General","1AM","Between 200 and 499","NORTH BALLARAT","3350","-37.56112208","143.85745130","Grampians","Not allowed"
"General","1AM","Between 100 and 199","CARLTON","3053","-37.79770400","144.96921900","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","DIAMOND CREEK","3089","-37.67238800","145.15122000","Metro North","Not allowed"
"General","1AM","Between 200 and 499","YERING","3770","-37.69180698","145.34669570","Metro East","Not allowed"
"General","1AM","More than 499","WARRNAMBOOL","3280","-38.38539697","142.53334240","Barwon South-West","Allowed"
"General","1AM","Between 200 and 499","FITZROY","3065","-37.80092728","144.97823130","Metro North","Not allowed"
"General","Ordinary","Between 200 and 499","COWES","3922","-38.47284000","145.24412700","Gippsland","Not allowed"
"General","Ordinary","Between 50 and 99","BALLARAT","3350","-37.55976309","143.85636460","Grampians","Not allowed"
"General","1AM","More than 499","DOCKLANDS","3008","-37.81223100","144.93697300","Metro North","Not allowed"
"General","1AM","More than 499","TULLAMARINE","3043","-37.69427110","144.87480560","Metro North","Not allowed"
"General","Ordinary","Between 200 and 499","WARTOOK","3401","-37.03675876","142.33904990","Grampians","Not allowed"
"General","12AM","Between 100 and 199","WINDSOR","3181","-37.85445700","144.99267900","Metro South","Not allowed"
"General","Ordinary","More than 499","WARRAGUL","3820","-38.19353960","145.92516090","Gippsland","Not allowed"
"General","1AM","More than 499","GEELONG","3220","-38.14476595","144.36305080","Barwon South-West","Not allowed"
"General","1AM","Between 100 and 199","ST KILDA","3182","-37.86425355","144.97286300","Metro South","Not allowed"
"General","Ordinary","Between 50 and 99","BENDIGO","3550","-36.75849415","144.28117530","Loddon Mallee","Not allowed"
"General","Ordinary","Between 200 and 499","YARRA GLEN","3775","-37.65816301","145.37408450","Metro East","Not allowed"
"General","Ordinary","Between 200 and 499","CARLTON","3053","-37.79751725","144.96722610","Metro North","Not allowed"
"General","12AM","Between 200 and 499","HEALESVILLE","3777","-37.65185696","145.52190790","Metro East","Not allowed"
"General","Ordinary","More than 499","EUMEMMERRING","3177","-38.00220900","145.24960600","Metro South","Not allowed"
"General","Ordinary","Between 200 and 499","GOLDEN SQUARE","3555","-36.75776300","144.25907200","Loddon Mallee","Not allowed"
"Late Night","3AM","More than 499","LYNDHURST","3975","-38.04383023","145.25142040","Metro South","Allowed"
"General","Ordinary","More than 499","NOOJEE","3833","-37.89119800","146.00377900","Gippsland","Not allowed"
"General","Ordinary","Between 20 and 49","SEDDON","3011","-37.80593318","144.89212990","Metro West","Not allowed"
"General","Ordinary","More than 499","ASPENDALE GARDENS","3195","-38.02615450","145.12939750","Metro South","Not allowed"
"General","Ordinary","Between 200 and 499","MALDON","3463","-36.99888826","144.06825260","Loddon Mallee","Not allowed"
"General","1AM","Between 200 and 499","ST KILDA EAST","3183","-37.86815500","144.99001100","Metro South","Not allowed"
"General","1AM","Between 100 and 199","ECHUCA","3564","-36.12104129","144.74655970","Loddon Mallee","Not allowed"
"General","Ordinary","Between 200 and 499","CASTLEMAINE","3450","-37.06325354","144.21509310","Loddon Mallee","Not allowed"
"General","1AM","Unspecified","QUEENSCLIFF","3225","-38.26507204","144.66734240","Barwon South-West","Not allowed"
"General","Ordinary","Unspecified","EAST MELBOURNE","3002","-37.80992890","144.98521800","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","GAPSTED","3738","-36.51990100","146.68383300","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","TAWONGA","3697","-36.69917665","147.14518940","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","MOONEE PONDS","3039","-37.76594739","144.92221760","Metro West","Not allowed"
"General","12AM","Between 20 and 49","DROUIN","3818","-38.13695900","145.85915600","Gippsland","Not allowed"
"General","Ordinary","Between 50 and 99","APOLLO BAY","3233","-38.75490999","143.66808430","Barwon South-West","Not allowed"
"General","Ordinary","Between 50 and 99","EAST MELBOURNE","3002","-37.81610600","144.98494700","Metro North","Not allowed"
"General","Ordinary","More than 499","WHITFIELD","3733","-36.76110530","146.41478226","Hume","Not allowed"
"General","Ordinary","Between 200 and 499","DOCKLANDS","3008","-37.81832590","144.94978420","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","IVANHOE","3079","-37.76704600","145.04428000","Metro North","Not allowed"
"General","1AM","Between 200 and 499","NATHALIA","3638","-36.05732958","145.20341400","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","SAN REMO","3925","-38.52103975","145.37009670","Gippsland","Not allowed"
"General","1AM","Unspecified","RED HILL SOUTH","3937","-38.38036000","145.02549100","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","CHIRNSIDE PARK","3116","-37.74369100","145.29767300","Metro East","Not allowed"
"General","Ordinary","More than 499","BARANDUDA","3691","-36.17209879","146.93428320","Hume","Not allowed"
"Late Night","3AM","More than 499","WODONGA","3690","-36.11450206","146.89250900","Hume","Not allowed"
"General","Ordinary","Between 200 and 499","COLDSTREAM","3770","-37.69023669","145.48634060","Metro East","Not allowed"
"General","Ordinary","Unspecified","MORNINGTON","3931","-38.23239100","145.05690700","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","KOROIT","3282","-38.29140770","142.36324260","Barwon South-West","Not allowed"
"General","Ordinary","Between 50 and 99","HEATHCOTE","3523","-36.92495121","144.71103680","Loddon Mallee","Not allowed"
"General","Ordinary","Unspecified","TANKERTON","3921","-38.38501491","145.31025100","Gippsland","Not allowed"
"General","Ordinary","Between 100 and 199","BRUNSWICK EAST","3057","-37.77611000","144.97178300","Metro North","Not allowed"
"General","1AM","More than 499","DOCKLANDS","3008","-37.82504470","144.95100050","Metro North","Not allowed"
"Late Night","3AM","More than 499","CAROLINE SPRINGS","3023","-37.73199444","144.74507860","North West","Allowed"
"General","Ordinary","Between 100 and 199","COWES","3922","-38.48640942","145.26160060","Gippsland","Not allowed"
"General","1AM","More than 499","CHURCHILL","3842","-38.31551900","146.41992500","Gippsland","Not allowed"
"General","Ordinary","Between 20 and 49","PARKVILLE","3052","-37.79605565","144.96139480","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","ANAKIE","3221","-37.91097845","144.25402680","Barwon South-West","Not allowed"
"General","1AM","Between 200 and 499","YARRA GLEN","3775","-37.63209500","145.40505700","Metro East","Not allowed"
"General","Ordinary","Between 100 and 199","QUEENSCLIFF","3225","-38.26474373","144.66995460","Barwon South-West","Not allowed"
"General","Ordinary","Between 200 and 499","MARYSVILLE","3779","-37.49437476","145.74915360","Hume","Not allowed"
"General","Ordinary","Between 200 and 499","MILAWA","3678","-36.45018800","146.43273500","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","HIGHETT","3190","-37.94913028","145.04375190","Metro South","Not allowed"
"General","Ordinary","Between 200 and 499","CASTLEMAINE","3450","-37.05518300","144.21804000","Loddon Mallee","Not allowed"
"General","Ordinary","Between 5 and 19","YARRAVILLE","3013","-37.81691700","144.89176400","Metro West","Not allowed"
"General","Ordinary","Between 20 and 49","ASCOT VALE","3032","-37.77504400","144.91584300","Metro West","Not allowed"
"Late Night","3AM","Between 200 and 499","ARARAT","3377","-37.28344993","142.93135510","Grampians","Not allowed"
"General","Ordinary","Unspecified","TRENTHAM","3458","-37.38863365","144.32339540","Grampians","Not allowed"
"General","1AM","More than 499","SALE","3850","-38.10967663","147.06804300","Gippsland","Not allowed"
"General","Ordinary","Between 50 and 99","BELMONT","3216","-38.17336163","144.34425940","Barwon South-West","Not allowed"
"General","Ordinary","Unspecified","BARWON HEADS","3227","-38.28165563","144.49185410","Barwon South-West","Not allowed"
"General","1AM","Unspecified","BRUNSWICK","3056","-37.76901200","144.96200100","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","KANGAROO GROUND","3097","-37.67010200","145.25433300","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","GLENLYON","3461","-37.29331566","144.24483650","Grampians","Not allowed"
"General","Ordinary","Between 50 and 99","DROMANA","3936","-38.33302893","144.96599490","Metro South","Not allowed"
"General","1AM","Between 200 and 499","SHERBROOKE","3789","-37.88126600","145.36406200","Metro East","Not allowed"
"General","1AM","Between 100 and 199","EILDON","3713","-37.21611548","145.91257330","Hume","Not allowed"
"General","Ordinary","Between 5 and 19","QUEENSCLIFF","3225","-38.26802833","144.66110400","Barwon South-West","Not allowed"
"General","Ordinary","Between 20 and 49","MIRBOO NORTH","3871","-38.40115215","146.15765810","Gippsland","Not allowed"
"General","Ordinary","Unspecified","BEAUFORT","3373","-37.42965633","143.38353000","Grampians","Not allowed"
"General","Ordinary","Between 50 and 99","DAYLESFORD","3460","-37.34442609","144.14242090","Grampians","Not allowed"
"General","Ordinary","Between 20 and 49","BEECHWORTH","3747","-36.35965443","146.68799110","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","RICHMOND","3121","-37.81959200","145.00706300","Metro North","Not allowed"
"General","1AM","Between 50 and 99","MELBOURNE","3000","-37.81349236","144.96738380","Metro North","Not allowed"
"General","1AM","Between 200 and 499","MT HOTHAM","3741","-36.99384687","147.15122620","Hume","Not allowed"
"General","1AM","Between 100 and 199","DROMANA","3936","-38.33244800","144.96579300","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","BENDIGO","3550","-36.75868445","144.28170270","Loddon Mallee","Not allowed"
"General","1AM","More than 499","COWES","3922","-38.44840789","145.24121090","Gippsland","Allowed"
"Late Night","3AM","More than 499","WODONGA","3691","-36.09527600","146.90305000","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","WEST FOOTSCRAY","3012","-37.79711800","144.87620000","Metro West","Not allowed"
"Late Night","3AM","More than 499","BALLARAT","3350","-37.55917570","143.85859030","Grampians","Allowed"
"General","Ordinary","Between 50 and 99","SEDDON","3011","-37.80642400","144.89108600","Metro West","Not allowed"
"General","Ordinary","Between 100 and 199","SWAN HILL","3585","-35.34358604","143.56367440","Loddon Mallee","Not allowed"
"General","Ordinary","Between 20 and 49","NEWHAM","3442","-37.31132406","144.59300720","Loddon Mallee","Not allowed"
"General","Ordinary","Between 100 and 199","GRAHAMVALE","3631","-36.34710040","145.42447300","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","SHEPPARTON","3630","-36.37891385","145.40047840","Hume","Not allowed"
"General","Ordinary","Between 5 and 19","BEECHWORTH","3747","-36.36016132","146.68651701","Hume","Not allowed"
"General","Ordinary","Between 50 and 99","CARLTON","3053","-37.79926000","144.96746200","Metro North","Not allowed"
"General","1AM","Between 50 and 99","BALLARAT","3350","-37.55990726","143.85539380","Grampians","Not allowed"
"Late Night","5AM","More than 499","CRAIGIEBURN","3064","-37.57482452","144.92165580","Metro North","Allowed"
"Late Night","2AM","Between 200 and 499","COWES","3922","-38.44822362","145.23978170","Gippsland","Not allowed"
"General","1AM","More than 499","BALLARAT","3350","-37.56024999","143.86404801","Grampians","Not allowed"
"General","12AM","Between 100 and 199","EAST MELBOURNE","3002","-37.81223576","144.98353900","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","EAGLEMONT","3084","-37.76360026","145.05489160","Metro North","Not allowed"
"General","1AM","Between 200 and 499","BALLARAT","3350","-37.55991283","143.85787380","Grampians","Not allowed"
"General","Ordinary","Between 50 and 99","KEW","3101","-37.80816700","145.03827700","Metro East","Not allowed"
"General","1AM","Between 100 and 199","BRUNSWICK EAST","3057","-37.77646100","144.97119700","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","ROBINVALE","3549","-34.58391540","142.77066340","Loddon Mallee","Not allowed"
"General","Ordinary","Between 100 and 199","BRIMPAEN","3401","-37.04591122","142.28373920","Grampians","Not allowed"
"General","1AM","More than 499","TRENTHAM","3458","-37.38870254","144.32085360","Grampians","Not allowed"
"General","Ordinary","Between 20 and 49","SOUTH YARRA","3141","-37.83428313","144.98228400","Metro North","Not allowed"
"General","1AM","Between 200 and 499","MOUNT BULLER","3723","-37.14752535","146.45470200","Hume","Not allowed"
"General","1AM","More than 499","DOCKLANDS","3008","-37.81595091","144.94486920","Metro North","Not allowed"
"General","Ordinary","Between 200 and 499","MOUNT BULLER","3723","-37.14728894","146.44767570","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","RYE","3941","-38.37143794","144.83196660","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","DAYLESFORD","3460","-37.34127226","144.14250136","Grampians","Not allowed"
"General","1AM","More than 499","LEIGH CREEK","3352","-37.55814118","143.95747190","Grampians","Not allowed"
"General","Ordinary","Between 100 and 199","MARYSVILLE","3779","-37.51083942","145.74493940","Hume","Not allowed"
"General","1AM","Between 200 and 499","DINNER PLAIN","3741","-37.01988367","147.26708710","Hume","Not allowed"
"General","1AM","Between 200 and 499","PORTSEA","3944","-38.32398236","144.70367470","Metro South","Not allowed"
"General","1AM","More than 499","WODONGA","3690","-36.12174954","146.89232210","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","KYNETON","3444","-37.24390445","144.44886560","Loddon Mallee","Not allowed"
"General","Ordinary","Between 100 and 199","MELBOURNE","3000","-37.81103853","144.97250510","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","MELBOURNE","3000","-37.81293712","144.96305530","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","MALVERN","3144","-37.85320963","145.04311190","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","HAWTHORN","3122","-37.82270456","145.03505260","Metro East","Not allowed"
"General","12AM","More than 499","SOUTH GEELONG","3220","-38.16535921","144.36233870","Barwon South-West","Not allowed"
"General","1AM","Between 50 and 99","PORT MELBOURNE","3207","-37.83622061","144.94402630","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","DOCKLANDS","3008","-37.82369682","144.94134960","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","GLEN IRIS","3146","-37.86437010","145.05023270","Metro South","Not allowed"
"General","1AM","Between 5 and 19","PORT MELBOURNE","3207","-37.83532010","144.94508340","Metro South","Not allowed"
"General","Ordinary","Between 50 and 99","WEST MELBOURNE","3003","-37.80550855","144.95110110","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","GEELONG","3220","-38.14909998","144.36094790","Barwon South-West","Not allowed"
"General","1AM","Between 200 and 499","RHYLL","3923","-38.46402445","145.30932090","Gippsland","Not allowed"
"General","1AM","More than 499","MELBOURNE","3000","-37.81289464","144.97267480","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","FITZROY","3065","-37.79848059","144.98418260","Metro North","Not allowed"
"General","Ordinary","Between 100 and 199","DOCKLANDS","3008","-37.82059809","144.95031089","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","WOODEND","3442","-37.35691113","144.52627960","Loddon Mallee","Not allowed"
"General","Ordinary","Between 50 and 99","ELWOOD","3184","-37.87323684","144.98989550","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","SERPENTINE","3517","-36.41103615","143.97505530","Loddon Mallee","Not allowed"
"General","1AM","Between 200 and 499","WANGARATTA","3677","-36.35269765","146.32759210","Hume","Not allowed"
"General","Ordinary","Between 50 and 99","MALVERN","3144","-37.85303892","145.04175960","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","WANGARATTA","3677","-36.35452124","146.30558260","Hume","Not allowed"
"General","12AM","Between 100 and 199","KIALLA","3631","-36.43789790","145.38379050","Hume","Not allowed"
"General","1AM","Between 50 and 99","CHELTENHAM","3192","-37.97601523","145.08590900","Metro South","Not allowed"
"General","Ordinary","Between 50 and 99","BRIGHT","3741","-36.72731872","146.96072820","Hume","Not allowed"
"General","Ordinary","Between 50 and 99","WALLAN","3756","-37.41461291","144.97883970","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","WOOD WOOD","3596","-35.10562604","143.34381220","Loddon Mallee","Not allowed"
"General","Ordinary","Between 20 and 49","SOUTH MELBOURNE","3205","-37.83432637","144.96145440","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","MOORABBIN","3189","-37.93468660","145.03728870","Metro South","Not allowed"
"General","1AM","Between 200 and 499","APSLEY","3319","-36.96922579","141.08377510","Grampians","Not allowed"
"General","Ordinary","Between 20 and 49","MELBOURNE","3000","-37.81498271","144.96407650","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","PORT ALBERT","3971","-38.67453528","146.69626470","Gippsland","Not allowed"
"General","Ordinary","Between 100 and 199","GRANYA","3701","-36.07955768","147.31654670","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","COLDSTREAM","3770","-37.69335604","145.41110250","Metro East","Not allowed"
"General","Ordinary","Between 20 and 49","PRAHRAN","3181","-37.85196493","144.99592070","Metro South","Not allowed"
"Late Night","2AM","Between 100 and 199","THORNBURY","3071","-37.75399836","145.00107810","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","BOUNDARY BEND","3599","-34.71667263","143.14700770","Loddon Mallee","Not allowed"
"General","Ordinary","Between 50 and 99","MYRTLEFORD","3737","-36.56373221","146.72840220","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","GEMBROOK","3783","-37.95278501","145.55039980","Metro South","Not allowed"
"General","Ordinary","More than 499","QUEENSCLIFF","3225","-38.26547610","144.67245090","Barwon South-West","Not allowed"
"General","Ordinary","More than 499","QUEENSCLIFF","3225","-38.26564738","144.67249580","Barwon South-West","Not allowed"
"General","Ordinary","Between 20 and 49","BRIGHT","3741","-36.72821057","146.95967590","Hume","Not allowed"
"General","Ordinary","Unspecified","BRIGHT","3741","-36.72587101","146.96268440","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","ST ARNAUD","3478","-36.61419622","143.25588040","Grampians","Not allowed"
"General","Ordinary","Between 20 and 49","ALEXANDRA","3714","-37.19292870","145.70989701","Hume","Not allowed"
"General","Ordinary","Between 100 and 199","BEECHWORTH","3747","-36.35912771","146.68696550","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","HAWTHORN","3122","-37.82272836","145.04476420","Metro East","Not allowed"
"General","Ordinary","Between 100 and 199","MELBOURNE","3000","-37.81465605","144.95708050","Metro North","Not allowed"
"General","12AM","Unspecified","MALVERN","3144","-37.85760160","145.02936410","Metro South","Not allowed"
"General","Ordinary","Between 50 and 99","POINT LONSDALE","3225","-38.28674318","144.61417350","Barwon South-West","Not allowed"
"General","1AM","Between 100 and 199","ANGLESEA","3230","-38.40817261","144.18507660","Barwon South-West","Not allowed"
"Late Night","3AM","Between 200 and 499","HEALESVILLE","3777","-37.65402937","145.51475950","Metro East","Not allowed"
"General","Ordinary","More than 499","MORWELL","3840","-38.23760228","146.39714250","Gippsland","Not allowed"
"General","1AM","More than 499","EMERALD","3782","-37.93137105","145.44307860","Metro South","Not allowed"
"General","1AM","More than 499","MARYSVILLE","3779","-37.51004626","145.74496550","Hume","Not allowed"
"General","Ordinary","Between 20 and 49","ELSTERNWICK","3185","-37.87826449","145.00769540","Metro South","Not allowed"
"General","Ordinary","Between 100 and 199","THORNBURY","3071","-37.75334961","145.00164550","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","MOUNT MACEDON","3441","-37.40205307","144.58783120","Loddon Mallee","Not allowed"
"General","1AM","Between 200 and 499","RINGWOOD","3134","-37.81344630","145.23306110","Metro East","Not allowed"
"Late Night","3AM","Between 100 and 199","HAWTHORN","3122","-37.82277661","145.03515480","Metro East","Not allowed"
"Late Night","3AM","More than 499","POINT COOK","3030","-37.87316391","144.74636258","Metro West","Allowed"
"General","1AM","More than 499","BALLARAT","3350","-37.55841289","143.85797920","Grampians","Not allowed"
"General","12AM","Between 100 and 199","RUTHERGLEN","3685","-36.05499349","146.46102960","Hume","Not allowed"
"General","Ordinary","Unspecified","LAVERS HILL","3238","-38.68159303","143.39149260","Barwon South-West","Not allowed"
"General","Ordinary","Between 20 and 49","BRUNSWICK EAST","3057","-37.76323992","144.97339640","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","ALBERT PARK","3206","-37.84115306","144.95339570","Metro South","Not allowed"
"General","Ordinary","Between 20 and 49","ELWOOD","3184","-37.88611178","144.98929120","Metro South","Not allowed"
"General","Ordinary","Unspecified","BRUNSWICK EAST","3057","-37.77561070","144.97233640","Metro North","Not allowed"
"General","Ordinary","Between 20 and 49","REDESDALE","3444","-37.02474035","144.53099380","Loddon Mallee","Not allowed"
"General","Ordinary","Between 20 and 49","HEATHCOTE","3523","-36.92551226","144.71065790","Loddon Mallee","Not allowed"
"General","Ordinary","Between 50 and 99","POINT COOK","3030","-37.89920326","144.73938788","Metro West","Not allowed"
"Late Night","3AM","Between 100 and 199","THORNBURY","3071","-37.75999919","145.00056750","Metro North","Not allowed"
"General","Ordinary","Between 50 and 99","HAWTHORN EAST","3123","-37.82396400","145.04805000","Metro East","Not allowed"
"General","Ordinary","Between 200 and 499","HEALESVILLE","3777","-37.65734811","145.50989720","Metro East","Not allowed"
"General","Ordinary","Between 50 and 99","GEELONG","3220","-38.15066067","144.35965690","Barwon South-West","Not allowed"
