"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"BYO Permit","Unspecified","Unspecified","MOUNT BAW BAW","3825","-37.84045900","146.26632200","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOORABBIN","3189","-37.94277495","145.03851240","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MACLEOD","3085","-37.72799500","145.06949000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","BRUNSWICK","3056","-37.75674900","144.96370000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14727140","146.44768790","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","PORTLAND","3305","-38.34938390","141.60331220","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","TEMPLESTOWE","3106","-37.75317191","145.13800320","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","NORLANE WEST","3214","-38.09141400","144.33519600","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","BUNDOORA","3083","-37.71325400","145.04475000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86402930","147.28140330","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","NORTHCOTE","3070","-37.77382585","144.99884730","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MONTROSE","3765","-37.81347204","145.34374990","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","CLIFTON SPRINGS","3222","-38.16201000","144.55356000","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","EAST HAWTHORN","3123","-37.84071600","145.04868150","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","ORMOND","3163","-37.89911600","145.03815500","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14823700","146.44538800","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14733491","146.45432980","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","FERNTREE GULLY","3156","-37.88123900","145.29606800","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86496100","147.27764460","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","SEDDON","3011","-37.81103400","144.89914200","Metro West","Not allowed"
"BYO Permit","Unspecified","Unspecified","CORIO","3214","-38.09774690","144.35000660","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","SURREY HILLS","3127","-37.82266806","145.08923060","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","CAMBERWELL","3124","-37.83097217","145.06958350","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","RHYLL","3923","-38.46220200","145.30970100","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","RINGWOOD","3134","-37.78018000","145.24608200","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MILL PARK","3082","-37.67099200","145.06484300","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","HAMPTON","3188","-37.93286730","144.99368600","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","GLEN WAVERLEY","3150","-37.86839600","145.16049700","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","RINGWOOD EAST","3135","-37.83507210","145.25560570","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","FERNTREE GULLY","3156","-37.86923210","145.27746625","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","SMITHS GULLY","3760","-37.62909099","145.27850030","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","ANGLESEA","3230","-38.42616900","144.17772600","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","GREENSBOROUGH","3088","-37.71546500","145.10600300","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","ELWOOD","3184","-37.89087600","144.99363700","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","RESEARCH","3095","-37.70208404","145.17775570","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MORNINGTON","3931","-38.23745801","145.05278140","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","CORIO","3214","-38.09061000","144.33639000","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","BALWYN NORTH","3104","-37.79059810","145.08328770","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","KERANG","3579","-35.60842000","143.80064600","Loddon Mallee","Not allowed"
"BYO Permit","Unspecified","Unspecified","NORLANE","3214","-38.09659008","144.35177809","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","BLACKBURN NORTH","3130","-37.81007100","145.15106400","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","RESERVOIR","3073","-37.69918100","145.01554000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","PRESTON","3072","-37.73343600","145.02363400","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","KORUMBURRA","3950","-38.43354780","145.82557160","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","KINGSBURY","3083","-37.71890500","145.03420900","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","LAKE CULLULLERAINE","3496","-34.26298940","141.58957760","Loddon Mallee","Not allowed"
"BYO Permit","Unspecified","Unspecified","ST ANDREWS","3761","-37.60350400","145.26909800","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","BUNDOORA","3083","-37.70543500","145.06476000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","CROYDON","3136","-37.79742900","145.28213800","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","GLEN IRIS","3146","-37.85311100","145.05397100","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","PLENTY","3090","-37.67160400","145.12260700","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","EAST IVANHOE","3079","-37.77903420","145.06079560","Metro North","Not allowed"
